ZCTA,Retail,Subway,Coffee,School,DOB_Permit,Food,Intercept,G.Index
10001,62,48,7,2,210,203,3.37262,3.872046
10002,213,18,10,32,260,204,3.37262,2.334884
10003,100,28,25,14,206,217,3.37262,4.35469
10004,9,20,4,3,61,172,3.37262,2.825142
10005,14,13,0,0,42,127,3.37262,2.678782
10006,4,21,3,2,78,120,3.37262,3.222072
10007,26,38,6,3,105,156,3.37262,3.992078
10009,83,2,18,10,252,190,3.37262,2.423664
10010,57,21,15,7,180,188,3.37262,3.396626
10011,104,52,23,15,231,211,3.37262,5.351732
10012,54,21,23,0,211,194,3.37262,4.126072
10013,124,34,25,5,234,211,3.37262,4.895452
10014,55,17,28,5,201,194,3.37262,4.34256
10016,74,17,18,2,229,202,3.37262,3.314702
10017,49,9,5,0,146,181,3.37262,2.132972
10018,63,20,1,0,195,190,3.37262,2.076654
10019,92,57,22,11,239,202,3.37262,5.608096
10020,9,8,0,0,0,48,3.37262,3.350252
10021,41,0,16,8,133,155,3.37262,2.841948
10022,56,30,21,1,219,198,3.37262,4.311268
10023,40,19,19,11,167,184,3.37262,3.62269
10024,47,18,26,14,123,153,3.37262,4.700416
10025,100,20,21,14,169,147,3.37262,4.39251
10026,51,11,10,11,194,145,3.37262,2.647948
10027,90,19,9,18,240,170,3.37262,2.5296
10028,59,6,21,2,131,173,3.37262,3.669202
10029,182,10,5,33,257,183,3.37262,1.511496
10030,40,7,1,13,119,106,3.37262,2.17385
10031,98,11,9,7,137,166,3.37262,2.849454
10032,90,21,5,11,174,164,3.37262,2.72735
10033,93,14,6,10,90,182,3.37262,2.666504
10034,64,16,12,7,99,155,3.37262,3.532922
10035,88,6,0,19,263,149,3.37262,1.063814
10036,57,30,18,5,242,201,3.37262,3.812706
10037,31,5,1,2,111,88,3.37262,2.482288
10038,45,16,5,3,151,172,3.37262,2.4827
10039,41,4,1,4,112,69,3.37262,2.608758
10040,84,11,5,13,55,156,3.37262,2.714642
10044,6,1,0,1,67,5,3.37262,3.099668
10065,34,16,13,1,157,159,3.37262,3.363372
10069,1,0,0,0,102,5,3.37262,2.905128
10075,26,8,19,2,115,126,3.37262,3.977798
10103,0,0,0,0,12,0,3.37262,3.32294
10110,0,1,0,0,0,0,3.37262,3.42437
10111,0,1,0,0,0,0,3.37262,3.42437
10119,4,3,0,0,7,0,3.37262,3.514442
10128,56,6,20,7,165,169,3.37262,3.351118
10154,1,0,0,0,0,0,3.37262,3.376508
10165,0,2,0,0,0,0,3.37262,3.47612
10168,1,1,0,0,0,0,3.37262,3.428258
10169,1,0,0,0,0,0,3.37262,3.376508
10174,0,2,0,0,0,0,3.37262,3.47612
10271,1,0,0,0,0,0,3.37262,3.376508
10278,1,0,0,0,0,3,3.37262,3.347048
10280,7,0,0,0,48,13,3.37262,3.073456
10282,8,0,4,3,76,44,3.37262,2.981114
10301,69,0,0,9,298,162,3.37262,0.622382
10302,58,0,0,3,234,117,3.37262,1.415774
10303,42,0,0,3,266,96,3.37262,1.427306
10304,62,0,0,7,306,149,3.37262,0.732806
10305,65,0,0,4,315,146,3.37262,0.80132
10306,51,0,0,7,314,132,3.37262,0.823858
10307,20,0,0,3,301,68,3.37262,1.47183
10308,19,0,0,5,294,107,3.37262,1.070842
10309,41,0,0,3,307,103,3.37262,1.184938
10310,48,0,0,4,245,131,3.37262,1.172324
10312,34,0,0,8,315,115,3.37262,0.899012
10314,82,0,0,13,317,145,3.37262,0.675005999999999
10451,116,13,1,17,250,171,3.37262,1.512998
10452,177,25,0,10,247,145,3.37262,2.692566
10453,156,16,0,22,253,147,3.37262,1.842088
10454,105,18,0,16,241,139,3.37262,2.00484
10455,120,20,0,16,273,154,3.37262,1.88688
10456,167,4,0,51,284,159,3.37262,0.392726
10457,145,7,0,37,299,159,3.37262,0.70204
10458,185,9,5,20,266,167,3.37262,1.87142
10459,142,22,0,19,271,147,3.37262,2.088286
10460,116,11,0,20,301,119,3.37262,1.547158
10461,97,11,3,7,277,171,3.37262,1.633726
10462,134,10,2,7,251,169,3.37262,1.755922
10463,95,9,6,19,248,139,3.37262,1.98972
10464,6,0,1,1,163,79,3.37262,2.020988
10465,33,1,3,8,298,116,3.37262,1.299004
10466,94,7,0,12,294,129,3.37262,1.357802
10467,184,20,0,21,258,167,3.37262,1.962402
10468,118,15,3,18,179,147,3.37262,2.326724
10469,80,5,0,11,310,153,3.37262,0.9195
10470,30,4,1,2,183,90,3.37262,2.10893
10471,18,4,1,1,216,98,3.37262,1.868644
10472,136,8,0,17,195,160,3.37262,1.570538
10473,49,0,0,21,254,84,3.37262,1.234142
10474,40,1,0,5,160,105,3.37262,1.77864
10475,23,0,0,11,243,57,3.37262,1.659234
11001,20,0,0,2,124,10,3.37262,2.79572
11003,46,0,0,0,0,0,3.37262,3.551468
11004,18,0,0,2,230,91,3.37262,1.553684
11005,2,0,0,0,8,0,3.37262,3.347276
11040,46,0,0,0,77,39,3.37262,2.849708
11101,165,53,10,14,263,192,3.37262,4.45283
11102,58,8,4,5,275,174,3.37262,1.445954
11103,89,6,17,3,257,182,3.37262,2.765512
11104,59,9,5,2,81,160,3.37262,2.604072
11105,65,4,17,4,252,176,3.37262,2.62677
11106,73,6,13,9,246,176,3.37262,2.289704
11109,0,0,1,1,60,0,3.37262,3.19986
11201,122,56,11,19,254,171,3.37262,4.673816
11203,123,0,1,23,224,170,3.37262,0.855624
11204,154,7,1,14,303,168,3.37262,1.224932
11205,90,7,8,15,259,2,3.37262,3.44716
11206,229,21,4,26,312,152,3.37262,2.393862
11207,199,29,0,29,298,177,3.37262,2.050272
11208,187,17,1,21,291,170,3.37262,1.749926
11209,138,11,7,6,245,196,3.37262,2.090424
11210,75,8,0,11,248,156,3.37262,1.28253
11211,251,28,23,17,298,30,3.37262,6.138208
11212,198,13,0,28,239,169,3.37262,1.562754
11213,117,12,0,12,223,0,3.37262,3.266696
11214,174,19,0,15,298,170,3.37262,1.806012
11215,106,25,12,16,270,166,3.37262,3.152058
11216,145,10,4,11,224,4,3.37262,3.63895
11217,72,25,14,9,263,141,3.37262,3.639576
11218,140,14,3,5,246,187,3.37262,1.97048
11219,175,18,1,7,317,160,3.37262,2.04728
11220,238,19,0,7,279,154,3.37262,2.463024
11221,166,7,1,27,292,129,3.37262,1.419958
11222,116,12,13,7,256,0,3.37262,4.497408
11223,163,21,0,8,311,174,3.37262,1.924494
11224,58,7,2,10,230,154,3.37262,1.474774
11225,101,13,1,12,216,121,3.37262,2.194188
11226,235,20,0,16,211,191,3.37262,2.22734
11228,67,6,1,6,244,116,3.37262,1.762226
11229,136,5,1,8,283,179,3.37262,1.155528
11230,141,20,0,4,312,186,3.37262,1.751428
11231,87,6,11,10,246,8,3.37262,3.777966
11232,103,6,0,7,248,14,3.37262,2.768534
11233,129,12,0,22,261,0,3.37262,2.940532
11234,96,0,1,8,283,147,3.37262,1.055498
11235,144,16,8,14,292,177,3.37262,2.289292
11236,98,5,0,22,260,154,3.37262,0.949614
11237,139,21,8,12,238,184,3.37262,2.726522
11238,101,26,9,12,254,0,3.37262,4.675358
11239,9,0,0,3,135,13,3.37262,2.656402
11354,69,10,0,6,321,189,3.37262,0.844172
11355,61,0,0,9,311,179,3.37262,0.370518
11356,37,0,0,2,289,116,3.37262,1.137796
11357,29,0,0,5,336,124,3.37262,0.768902
11358,49,0,0,4,300,154,3.37262,0.722652
11360,6,0,0,2,252,28,3.37262,2.034608
11361,30,0,0,6,317,146,3.37262,0.613859999999999
11362,10,0,0,3,277,98,3.37262,1.23771
11363,5,0,0,2,207,43,3.37262,2.06972
11364,20,0,0,8,252,101,3.37262,1.24288
11365,25,0,0,8,283,90,3.37262,1.242
11366,25,0,1,5,193,106,3.37262,1.61932
11367,32,0,0,8,212,126,3.37262,1.209636
11368,193,14,0,8,308,192,3.37262,1.514544
11369,27,0,0,4,259,115,3.37262,1.189836
11370,11,0,1,1,233,63,3.37262,1.907748
11371,0,0,0,0,4,0,3.37262,0
11372,152,10,1,7,195,187,3.37262,1.783796
11373,115,21,1,11,299,179,3.37262,1.77099
11374,64,7,1,5,204,157,3.37262,1.586842
11375,80,17,10,7,291,161,3.37262,2.5987
11377,145,13,5,6,314,182,3.37262,1.87858
11378,64,0,0,4,299,150,3.37262,0.824392
11379,42,1,0,4,225,92,3.37262,1.666526
11385,234,12,1,13,263,192,3.37262,1.746192
11411,22,0,0,6,105,111,3.37262,1.804136
11412,44,0,0,7,260,152,3.37262,0.823802
11413,38,0,0,11,320,117,3.37262,0.809574
11414,26,4,0,3,274,122,3.37262,1.283658
11415,23,5,0,1,173,85,3.37262,2.148324
11416,41,0,0,3,198,128,3.37262,1.390698
11417,38,14,0,6,243,157,3.37262,1.567804
11418,74,12,0,7,207,161,3.37262,1.692482
11419,90,8,0,3,252,154,3.37262,1.51633
11420,50,1,0,7,318,177,3.37262,0.41326
11421,65,7,0,3,133,152,3.37262,1.87968
11422,24,0,0,4,285,121,3.37262,1.011612
11423,31,0,0,3,262,130,3.37262,1.067218
11426,14,0,0,7,212,81,3.37262,1.603102
11427,15,0,0,3,177,75,3.37262,1.89701
11428,31,0,0,4,179,142,3.37262,1.271448
11429,28,0,0,1,199,90,3.37262,1.752274
11430,0,0,0,0,27,8,3.37262,0
11432,129,35,1,8,284,193,3.37262,2.539192
11433,47,4,0,6,299,137,3.37262,1.049856
11434,79,0,0,10,328,177,3.37262,0.368212
11435,96,9,1,6,296,180,3.37262,1.186468
11436,19,0,0,3,259,84,3.37262,1.484702
11451,0,0,0,1,0,0,3.37262,3.35107
11691,60,16,0,14,302,131,3.37262,1.5955
11692,9,4,0,2,244,21,3.37262,2.355132
11693,16,5,0,3,221,72,3.37262,2.006948
11694,25,8,1,7,252,110,3.37262,1.70668
11697,1,0,0,0,148,0,3.37262,2.763788
